Date,Rating,Review Title,Topic/Job Role,Good Points,Bad Points,Location,Good Points (Translated),Bad Points (Translated)
20. Jan. 2024,5.0,Work student business analyst,Work student business development,Flexible working hours and good salary,No Christmas money and extra money for essentials,Frankfurt am Main,Flexible Arbeitszeiten und gutes Gehalt,Kein Weihnachtsgeld und kein zusätzliches Geld für das Wesentliche
9. Feb. 2022,3.0,Room for improvement,Customer service specialist,"Family-like atmosphere, not too much pressure on the job","Lack of ambition and lack of means to do better, almost no perks compared to LVMH France",Frankfurt am Main,"Familiäre Atmosphäre, nicht zu viel Druck bei der Arbeit","Mangel an Ehrgeiz und fehlende Mittel für bessere Leistungen, kaum Vorteile im Vergleich zu LVMH Frankreich"
12 Feb. 2020,4.0,gut,Beauty Consultant,,,Frankfurt am Main,Gesamt Bewertung Eindruck bei Benefit LVMH war gut. Work-Life Balance: Gut.,Kollengenzusammenhalt: Mangelhaft.
11 Sept. 2024,5.0,Payroll Manager,Payroll Manager,,,Paris,"Participation, salary reductions, group product discounts",Lack of cohesion with other group companies
31 Aug. 2024,5.0,Top,CDP,,,Paris,Everything and a very good works council,Nothing else other than the coffee
22 Aug. 2024,4.0,Feedback Internship,Stage Data Analyst,,,Paris,"Environment and interesting topics, international scope","High workload, salary"
30 July 2024,5.0,Best Experience,Data Engineer Intern,,,Neuilly-sur-Seine,"The manager is attentive, the atmosphere is pleasant, and there are many benefits.","For me, I see no drawbacks."
2 July 2024,4.0,Experience at LVMH,Supply Chain Engineer,,,Clichy,"Prestige, renown, easy to find a job afterwards","Low salary, external factors"
5 June 2024,4.0,Interesting Work,Customer Care Specialist,,,Paris,"Interesting work, bonuses, social advantages","No pressure, no work overload"
13 May 2024,5.0,Good Company,Operations,,,Levallois-Perret,Very nice headquarters,Lots of turnover in services
9 Apr. 2024,5.0,Benevolence,Sales Coordinator,,,Levallois-Perret,"Bonuses, products, CE, vouchers, restaurant, remote work","Few shops around, few restaurant vouchers"
5 Apr. 2024,1.0,Bad Experience,Executive Assistant,,,Paris,Discounts on LVMH products,"Uninteresting job as the director spends his life at the doctor’s office, rude and disrespectful."
24 Mar. 2024,5.0,Salary,Product Manager,,,Paris,"Performance bonus, staff canteen/store",I see no drawbacks.
11 Apr. 2024,1.0,Bien,Logistique,,,Paris,"Gutes Gehalt, gute Karriereentwicklung, zuhören","Überlastete Teams, kein Gleichgewicht, schlechtes Zuhören."
7 Feb. 2024,5.0,"Excellence, exigence & expériences",Chargé de communication,,,Paris,"Eine sehr gute Berufsschule, anspruchsvoll, die schöne Erfahrungen und Fähigkeiten vermittelt.",Der erwartete Exzellenzgrad bringt Druck mit sich.
28 Nov. 2023,1.0,comment être rapetissé ?,Directeur commercial,,,Paris,"Marken und Namen, die Menschen träumen lassen","Ein Unternehmen, das Fähigkeiten verkleinert, starr ist, und das obere Management ist nicht vertrauenswürdig."
16 Feb. 2024,4.0,très bien,Communication - social media manager,,,Paris,"Etwas niedrige Gehälter, akzeptable Arbeitszeiten, insgesamt positiv.",Kein Bonus in meinem Team.
22 Jan. 2024,4.0,Conseiller de vente,Conseiller de vente,,,Paris,"Essensgutscheine, 13. Monatsgehalt, Frühzeitige Bonus","Herausforderungen, Eifersucht, scheinheiliges Management."
12 Dec. 2023,5.0,Belle entreprise,Mitarbeiter (anonym),,,Paris,"Gehalt, Boni, Werksverkäufe, gutes Arbeitsklima",Manchmal hohe Arbeitsbelastung.
30 Oct. 2023,5.0,Bonne expérience,Chargé de formation,,,Levallois-Perret,"Benevolentes Management, häufig neue Projekte, Weiterentwicklungsmöglichkeiten","Gehalt weniger wettbewerbsfähig als ähnliche Unternehmen, lange Arbeitszeiten."
11 Dec. 2023,2.0,Bon entreprise,Chargé de projets,,,Paris,Vorteile wie in der gesamten Branche,Inkonvenienzen wie Arbeitsbelastung.
2 Nov. 2023,5.0,Très formateur,E-commerce analyst,,,Paris,"Faszinierendes Umfeld, gute Möglichkeiten, Fokus auf die Zukunft.",Externe Faktoren und viel Druck von den anderen Abteilungen.
21 Nov. 2023,5.0,Superbe expérience,Assistante RP et communication,,,Levallois-Perret,"Ein schönes Team, wohlwollende Atmosphäre",Viele Validierungsprozesse.
10 Nov. 2023,2.0,Mauvaise rémunération,Business Analyst,,,Paris,"Gute betriebliche Altersversorgung, Mitarbeiterrabatte.",Niedriges Gehalt im Vergleich zur Arbeitsbelastung.
24 Oct. 2023,5.0,Super expérience !,Chef de projet digital,,,Paris,"Gehalt, Management, Homeoffice, Umgang mit Mitarbeitern.",Hohe Arbeitsbelastung von Zeit zu Zeit.
10 Sept. 2023,4.0,LVMH review,Commercial Trainer,,,Paris,"Gemischtes und internationales Umfeld, viele bereichsübergreifende Chancen.","Hierarchisch, etwas verschlossen, geringere Gehälter intern."
15 Aug. 2023,5.0,Expérience professionnelle,Chef de secteur,,,Paris,"Sehr gutes Arbeitsklima, alle Tools vorhanden, hohe Qualität.",Ich sehe keine Nachteile bei der Arbeit bei LVMH.
14 Aug. 2023,5.0,top expérience,Mitarbeiter (anonym),,,Paris,"Tolle Erfahrung, man lernt sehr viel!",Es gibt nichts hinzuzufügen.
9 July 2023,5.0,Data ingénieur,Data Ingenieur,,,Paris,"Gute Boni, Gehalt, gute betriebliche Altersversorgung.","Wenige Nachteile, gutes Unternehmen."
