Paragraph,Frequency,fashion & lifestyle,health,threedom of work,mobility,family,grants & subsidies,times hospitality,none
eine attraktive Vergütung,31,False,False,False,False,False,False,False,True
"Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst",31,False,False,False,False,False,False,False,True
"Wir freuen uns auf dich, wenn du",27,False,False,False,False,False,False,False,True
Weiterbildung & Flächentrainings,27,False,False,False,False,False,False,False,True
Dich erwarten …,26,False,False,False,False,False,False,False,True
Personalrabatte & Fitnessangebot,24,False,False,False,False,False,False,False,True
"Entfalte deine Kreativität, deine ansteckende Leidenschaft und dein Wissen über unsere einzigartigen Marken und Produkte",24,False,False,False,False,False,False,False,True
eine betriebliche Altersvorsorge,22,False,False,False,False,False,False,False,True
g,21,False,False,False,False,False,False,False,True
Not Available,21,False,False,False,False,False,False,False,True
"Hilf dabei, einen glänzenden ersten Eindruck zu hinterlassen, indem du den Store sauber und ordentlich hältst",19,False,False,False,False,False,False,False,True
eine überdurchschnittliche Anzahl an Urlaubstagen,18,False,False,False,False,False,False,False,True
Not Available Profile,17,False,False,False,False,False,False,False,True
"Bereite eine einladende Atmosphäre, indem du individuell auf die Bedürfnisse unserer Kunden und Kundinnen eingehst",17,False,False,False,False,False,False,False,True
"… eine abgeschlossene Ausbildung oder vergleichbare Erfahrung im Bereich Beauty, Kosmetik, Retail, Fashion oder Gastronomie mitbringst",17,True,False,False,False,False,False,False,False
"Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein",16,False,False,False,False,False,False,False,True
"Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein",16,False,False,False,False,False,False,False,True
de,15,False,False,False,False,False,False,False,True
"Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein",15,False,False,False,False,False,False,False,True
"Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein",15,False,False,False,False,False,False,False,True
… ein aufgeschlossener und geselliger Mensch mit Verkaufserfahrung bist,15,False,False,False,False,False,False,False,True
"… keine Schwierigkeit damit hast, kurze Gespräche auch auf Englisch zu führen",15,False,False,False,False,False,False,False,True
"… deine Stärken im Bereich Kommunikation, Zuverlässigkeit und Organisation hast",15,False,False,False,False,False,False,False,True
… deinen Teamgeist auszuleben,14,False,False,False,False,False,False,False,True
B,14,False,False,False,False,False,False,False,True
… den Erfolg des Stores zu unterstützen,13,False,False,False,False,False,False,False,True
", for sports, lifestyle, fashion, etc",12,True,False,False,False,False,False,False,False
"We know that for our business to thrive, we depend on having diverse talent with a range of backgrounds, skills and capabilities in each of the countries in which we operate and to reflect our broad consumer base",11,False,False,False,False,False,False,False,True
We view diversity as one of the key enablers that helps our business to grow,11,False,False,False,False,False,False,False,True
The diverse positions that contribute to our joint success open up a wide range of development opportunities,11,False,False,False,False,False,False,False,True
